step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec
1,4.535799,351705.414992,0.000000,351705.414992,8.697961
2,4.047842,346250.826515,0.000000,346250.826515,8.834982
3,4.152731,345793.208966,0.000000,345793.208966,8.846674
4,3.599689,344425.098495,0.000000,344425.098495,8.881814
5,3.703026,344498.529271,0.000000,344498.529271,8.879921
6,3.906327,344059.561910,0.000000,344059.561910,8.891251
7,4.031962,343759.181320,0.000000,343759.181320,8.899020
8,3.568295,345079.180585,0.000000,345079.180585,8.864979
9,3.929303,345018.240357,0.000000,345018.240357,8.866545
10,3.637965,345935.072168,0.000000,345935.072168,8.843046
11,4.027127,344088.620370,0.000000,344088.620370,8.890500
12,3.786942,345657.437751,0.000000,345657.437751,8.850149
13,3.987697,343024.051821,0.000000,343024.051821,8.918091
14,3.860814,344834.075916,0.000000,344834.075916,8.871281
15,3.671854,343265.101361,0.000000,343265.101361,8.911829
16,3.481398,343190.786685,0.000000,343190.786685,8.913759
17,3.966861,342694.957738,0.000000,342694.957738,8.926655
18,3.808088,344414.840532,0.000000,344414.840532,8.882079
19,3.512998,345451.441237,0.000000,345451.441237,8.855426
