step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec
1,4.535799,124546.408639,0.000000,124546.408639,24.562088
2,4.047842,123088.756096,0.000000,123088.756096,24.852959
3,4.152731,122942.004932,0.000000,122942.004932,24.882625
4,3.599689,123697.328454,0.000000,123697.328454,24.730686
5,3.703026,124121.085650,0.000000,124121.085650,24.646254
6,3.906327,124168.497911,0.000000,124168.497911,24.636843
7,4.031962,123858.686661,0.000000,123858.686661,24.698468
8,3.568295,124822.352692,0.000000,124822.352692,24.507788
9,3.929303,123886.748466,0.000000,123886.748466,24.692874
10,3.637965,124524.144416,0.000000,124524.144416,24.566479
11,4.027127,124044.476582,0.000000,124044.476582,24.661475
12,3.786942,124878.193780,0.000000,124878.193780,24.496829
13,3.987697,124177.290239,0.000000,124177.290239,24.635099
14,3.860814,124185.732430,0.000000,124185.732430,24.633424
15,3.671854,124344.252181,0.000000,124344.252181,24.602020
16,3.481398,124698.206261,0.000000,124698.206261,24.532188
17,3.966861,124239.692423,0.000000,124239.692423,24.622725
18,3.808088,124881.803646,0.000000,124881.803646,24.496121
19,3.512998,124941.277953,0.000000,124941.277953,24.484461
20,3.670301,125074.172730,0.000000,125074.172730,24.458445
21,3.640819,124701.658493,0.000000,124701.658493,24.531509
22,3.594809,124545.302125,0.000000,124545.302125,24.562306
23,3.177976,125116.042781,0.000000,125116.042781,24.450260
24,3.374685,126408.513902,0.000000,126408.513902,24.200267
25,3.815212,125341.913116,0.000000,125341.913116,24.406200
26,3.535961,125410.573036,0.000000,125410.573036,24.392838
27,3.930375,125564.537583,0.000000,125564.537583,24.362928
28,3.468837,125761.699150,0.000000,125761.699150,24.324734
29,3.379496,126070.892228,0.000000,126070.892228,24.265076
30,3.323285,127089.554987,0.000000,127089.554987,24.070584
31,3.272568,125904.268886,0.000000,125904.268886,24.297189
32,3.477969,125639.265186,0.000000,125639.265186,24.348438
33,3.588846,126266.375830,0.000000,126266.375830,24.227509
34,3.546524,126251.464327,0.000000,126251.464327,24.230371
35,3.749449,125871.118223,0.000000,125871.118223,24.303588
36,3.397265,127329.083690,0.000000,127329.083690,24.025303
37,3.276726,126442.399363,0.000000,126442.399363,24.193782
38,3.235375,126226.052539,0.000000,126226.052539,24.235249
39,3.636957,126099.200974,0.000000,126099.200974,24.259629
