step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec
1,4.592313,172554.041360,0.000000,172554.041360,8.864237
2,4.145658,170494.144037,0.000000,170494.144037,8.971334
3,4.224081,169941.970149,0.000000,169941.970149,9.000484
4,3.919480,170608.171806,0.000000,170608.171806,8.965338
5,3.405045,170343.864076,0.000000,170343.864076,8.979249
6,3.752794,170082.008442,0.000000,170082.008442,8.993073
7,3.895504,170056.079953,0.000000,170056.079953,8.994444
8,3.681662,169744.993184,0.000000,169744.993184,9.010928
9,3.441485,170281.698389,0.000000,170281.698389,8.982527
10,3.819764,169379.972852,0.000000,169379.972852,9.030347
11,3.428273,170087.070539,0.000000,170087.070539,8.992805
12,3.342442,170567.970141,0.000000,170567.970141,8.967451
13,3.873938,169663.995416,0.000000,169663.995416,9.015230
14,3.665465,168859.839572,0.000000,168859.839572,9.058163
15,3.614073,169563.827747,0.000000,169563.827747,9.020555
16,3.760737,169237.566764,0.000000,169237.566764,9.037946
17,3.507296,169737.724886,0.000000,169737.724886,9.011314
18,3.869338,169759.899360,0.000000,169759.899360,9.010137
19,3.752676,170137.744807,0.000000,170137.744807,8.990127
20,4.098787,168773.374689,0.000000,168773.374689,9.062803
21,3.146670,169254.104600,0.000000,169254.104600,9.037062
22,4.019624,168702.384147,0.000000,168702.384147,9.066617
23,3.592787,168617.424348,0.000000,168617.424348,9.071185
24,3.598190,169889.130050,0.000000,169889.130050,9.003283
25,3.455977,169447.504539,0.000000,169447.504539,9.026748
26,3.500781,170648.362792,0.000000,170648.362792,8.963226
27,3.826669,170006.850019,0.000000,170006.850019,8.997049
28,3.994405,170122.883953,0.000000,170122.883953,8.990912
29,3.603254,169453.946967,0.000000,169453.946967,9.026405
30,3.560243,169657.305346,0.000000,169657.305346,9.015585
31,4.174571,169652.588157,0.000000,169652.588157,9.015836
32,3.899686,170063.049170,0.000000,170063.049170,8.994076
33,3.444940,169920.405257,0.000000,169920.405257,9.001626
34,3.633618,169574.560573,0.000000,169574.560573,9.019985
35,3.526014,170204.089953,0.000000,170204.089953,8.986623
36,3.286708,169725.783582,0.000000,169725.783582,9.011948
37,3.590175,169493.151587,0.000000,169493.151587,9.024317
38,3.581505,169375.468102,0.000000,169375.468102,9.030587
39,3.653422,170129.862063,0.000000,170129.862063,8.990543
40,3.823425,170245.968638,0.000000,170245.968638,8.984412
