step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec
1,4.592313,98647.497161,0.000000,98647.497161,15.505309
2,4.145658,97688.836837,0.000000,97688.836837,15.657469
3,4.224081,98824.968826,0.000000,98824.968826,15.477464
4,3.919480,98641.992054,0.000000,98641.992054,15.506174
5,3.405045,99455.250204,0.000000,99455.250204,15.379378
6,3.752794,98356.832804,0.000000,98356.832804,15.551130
7,3.895504,98839.581649,0.000000,98839.581649,15.475176
8,3.681662,98824.653226,0.000000,98824.653226,15.477514
9,3.441485,98562.105392,0.000000,98562.105392,15.518742
10,3.819764,97822.569989,0.000000,97822.569989,15.636063
11,3.428273,98447.305590,0.000000,98447.305590,15.536839
12,3.342442,98529.569925,0.000000,98529.569925,15.523867
13,3.873938,98752.761054,0.000000,98752.761054,15.488781
14,3.665465,97872.803034,0.000000,97872.803034,15.628038
15,3.614073,98544.591794,0.000000,98544.591794,15.521500
16,3.760737,97701.620911,0.000000,97701.620911,15.655420
17,3.507296,98256.183571,0.000000,98256.183571,15.567060
18,3.869338,97932.581323,0.000000,97932.581323,15.618499
19,3.752676,98441.608095,0.000000,98441.608095,15.537738
20,4.098787,98883.036150,0.000000,98883.036150,15.468375
21,3.146670,99095.919429,0.000000,99095.919429,15.435145
22,4.019624,98944.860063,0.000000,98944.860063,15.458710
23,3.592787,98854.602378,0.000000,98854.602378,15.472824
24,3.598190,98773.016323,0.000000,98773.016323,15.485605
25,3.455977,98802.848452,0.000000,98802.848452,15.480929
26,3.500781,99125.150696,0.000000,99125.150696,15.430594
27,3.826669,99035.272400,0.000000,99035.272400,15.444597
28,3.994405,99129.395043,0.000000,99129.395043,15.429933
29,3.603254,99261.595862,0.000000,99261.595862,15.409383
30,3.560243,99187.552984,0.000000,99187.552984,15.420886
31,4.174571,99210.009407,0.000000,99210.009407,15.417395
32,3.899686,99321.927561,0.000000,99321.927561,15.400022
33,3.444940,99550.710273,0.000000,99550.710273,15.364631
34,3.633618,99434.966157,0.000000,99434.966157,15.382516
35,3.526014,100232.097529,0.000000,100232.097529,15.260181
36,3.286708,99831.714952,0.000000,99831.714952,15.321383
37,3.590175,99720.489390,0.000000,99720.489390,15.338472
38,3.581505,99250.508327,0.000000,99250.508327,15.411104
39,3.653422,99565.146845,0.000000,99565.146845,15.362403
40,3.823425,99893.368367,0.000000,99893.368367,15.311926
