step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec
1,4.592313,72921.351613,0.000000,72921.351613,20.975474
2,4.145658,76135.626023,0.000000,76135.626023,20.089937
3,4.224081,76052.202463,0.000000,76052.202463,20.111974
4,3.919480,77130.401338,0.000000,77130.401338,19.830830
5,3.405045,76834.262309,0.000000,76834.262309,19.907264
6,3.752794,76248.825794,0.000000,76248.825794,20.060111
7,3.895504,77073.279087,0.000000,77073.279087,19.845528
8,3.681662,76791.567804,0.000000,76791.567804,19.918332
9,3.441485,75930.346020,0.000000,75930.346020,20.144250
10,3.819764,75715.829364,0.000000,75715.829364,20.201323
11,3.428273,76759.026952,0.000000,76759.026952,19.926776
12,3.342442,76393.645304,0.000000,76393.645304,20.022083
13,3.873938,76687.386833,0.000000,76687.386833,19.945391
14,3.665465,76990.070416,0.000000,76990.070416,19.866976
15,3.614073,76912.165623,0.000000,76912.165623,19.887100
16,3.760737,76831.099098,0.000000,76831.099098,19.908083
17,3.507296,76598.710690,0.000000,76598.710690,19.968481
18,3.869338,77006.627467,0.000000,77006.627467,19.862705
19,3.752676,76512.373329,0.000000,76512.373329,19.991014
20,4.098787,77744.457761,0.000000,77744.457761,19.674199
21,3.146670,75805.014944,0.000000,75805.014944,20.177556
22,4.019624,77109.451179,0.000000,77109.451179,19.836218
23,3.592787,78164.473503,0.000000,78164.473503,19.568480
24,3.598190,77459.425453,0.000000,77459.425453,19.746595
25,3.455977,77545.569300,0.000000,77545.569300,19.724659
26,3.500781,78118.106460,0.000000,78118.106460,19.580095
27,3.826669,77084.634995,0.000000,77084.634995,19.842604
28,3.994405,78168.192648,0.000000,78168.192648,19.567549
29,3.603254,78674.307468,0.000000,78674.307468,19.441670
30,3.560243,78158.270677,0.000000,78158.270677,19.570033
31,4.174571,76037.213221,0.000000,76037.213221,20.115939
32,3.899686,77383.660783,0.000000,77383.660783,19.765929
33,3.444940,77992.633008,0.000000,77992.633008,19.611595
34,3.633618,77540.625767,0.000000,77540.625767,19.725916
35,3.526014,78308.303157,0.000000,78308.303157,19.532538
36,3.286708,78728.413613,0.000000,78728.413613,19.428309
37,3.590175,78279.165904,0.000000,78279.165904,19.539808
38,3.581505,78451.595783,0.000000,78451.595783,19.496862
39,3.653422,78323.995540,0.000000,78323.995540,19.528625
40,3.823425,77694.064801,0.000000,77694.064801,19.686960
