step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec
1,4.592313,303814.522586,0.000000,303814.522586,5.034519
2,4.145658,300364.150631,0.000000,300364.150631,5.092352
3,4.224081,299682.612550,0.000000,299682.612550,5.103933
4,3.919480,303565.733598,0.000000,303565.733598,5.038645
5,3.405045,297963.431688,0.000000,297963.431688,5.133381
6,3.752794,295940.816381,0.000000,295940.816381,5.168466
7,3.895504,298464.181544,0.000000,298464.181544,5.124769
8,3.681662,296148.964125,0.000000,296148.964125,5.164833
9,3.441485,296715.501209,0.000000,296715.501209,5.154971
10,3.819764,296028.245850,0.000000,296028.245850,5.166939
11,3.428273,295733.770299,0.000000,295733.770299,5.172084
12,3.342442,296379.076540,0.000000,296379.076540,5.160823
13,3.873938,296345.783010,0.000000,296345.783010,5.161403
14,3.665465,296116.156767,0.000000,296116.156767,5.165405
15,3.614073,296406.858903,0.000000,296406.858903,5.160339
16,3.760737,296067.476991,0.000000,296067.476991,5.166254
17,3.507296,296038.194506,0.000000,296038.194506,5.166765
18,3.869338,295840.430701,0.000000,295840.430701,5.170219
19,3.752676,296779.734530,0.000000,296779.734530,5.153856
20,4.098787,295967.810593,0.000000,295967.810593,5.167994
21,3.146670,296585.420073,0.000000,296585.420073,5.157232
22,4.019624,296968.139322,0.000000,296968.139322,5.150586
23,3.592787,297150.510325,0.000000,297150.510325,5.147425
24,3.598190,297388.642060,0.000000,297388.642060,5.143303
25,3.455977,297371.919202,0.000000,297371.919202,5.143592
26,3.500781,297911.082083,0.000000,297911.082083,5.134283
27,3.826669,296960.365978,0.000000,296960.365978,5.150721
28,3.994405,297259.099580,0.000000,297259.099580,5.145544
29,3.603254,297247.539602,0.000000,297247.539602,5.145745
30,3.560243,297561.391237,0.000000,297561.391237,5.140317
31,4.174571,297334.974356,0.000000,297334.974356,5.144231
32,3.899686,297309.808072,0.000000,297309.808072,5.144667
33,3.444940,296948.566529,0.000000,296948.566529,5.150925
34,3.633618,297588.232381,0.000000,297588.232381,5.139853
35,3.526014,298198.605798,0.000000,298198.605798,5.129333
36,3.286708,298110.050344,0.000000,298110.050344,5.130857
37,3.590175,297627.014227,0.000000,297627.014227,5.139184
38,3.581505,297752.920194,0.000000,297752.920194,5.137011
39,3.653422,297997.318931,0.000000,297997.318931,5.132798
