step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec
1,4.592313,62786.298981,0.000000,62786.298981,24.361364
2,4.145658,62018.827850,0.000000,62018.827850,24.662832
3,4.224081,62682.399789,0.000000,62682.399789,24.401745
4,3.919480,62440.987917,0.000000,62440.987917,24.496088
5,3.405045,63044.201685,0.000000,63044.201685,24.261706
6,3.752794,62518.109733,0.000000,62518.109733,24.465869
7,3.895504,62815.837084,0.000000,62815.837084,24.349909
8,3.681662,62790.499488,0.000000,62790.499488,24.359735
9,3.441485,63141.872371,0.000000,63141.872371,24.224177
10,3.819764,62401.216293,0.000000,62401.216293,24.511700
11,3.428273,62712.679682,0.000000,62712.679682,24.389963
12,3.342442,62682.341566,0.000000,62682.341566,24.401767
13,3.873938,62552.515576,0.000000,62552.515576,24.452412
14,3.665465,62385.382968,0.000000,62385.382968,24.517921
15,3.614073,62749.797631,0.000000,62749.797631,24.375535
16,3.760737,62535.998585,0.000000,62535.998585,24.458871
17,3.507296,62647.263599,0.000000,62647.263599,24.415430
18,3.869338,62478.402961,0.000000,62478.402961,24.481418
19,3.752676,62806.903201,0.000000,62806.903201,24.353372
20,4.098787,62874.222039,0.000000,62874.222039,24.327298
21,3.146670,62725.557150,0.000000,62725.557150,24.384955
22,4.019624,62857.049294,0.000000,62857.049294,24.333944
23,3.592787,63216.838433,0.000000,63216.838433,24.195451
24,3.598190,63380.840178,0.000000,63380.840178,24.132844
25,3.455977,63689.245503,0.000000,63689.245503,24.015984
26,3.500781,64423.840969,0.000000,64423.840969,23.742141
27,3.826669,63330.709805,0.000000,63330.709805,24.151946
28,3.994405,63581.648763,0.000000,63581.648763,24.056625
29,3.603254,63309.073415,0.000000,63309.073415,24.160201
30,3.560243,63950.199750,0.000000,63950.199750,23.917985
31,4.174571,63059.516555,0.000000,63059.516555,24.255814
32,3.899686,63582.952944,0.000000,63582.952944,24.056132
33,3.444940,64027.905711,0.000000,64027.905711,23.888957
34,3.633618,63805.470406,0.000000,63805.470406,23.972238
35,3.526014,64203.901118,0.000000,64203.901118,23.823473
36,3.286708,63986.548445,0.000000,63986.548445,23.904398
37,3.590175,64255.929862,0.000000,64255.929862,23.804183
38,3.581505,64104.713591,0.000000,64104.713591,23.860334
39,3.653422,63998.798574,0.000000,63998.798574,23.899822
40,3.823425,64321.198923,0.000000,64321.198923,23.780028
