step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec
1,4.399524,85739.524660,0.000000,85739.524660,8.919806
2,4.774795,84757.871738,0.000000,84757.871738,9.023114
3,3.688434,84599.322449,0.000000,84599.322449,9.040025
4,3.983828,83809.756100,0.000000,83809.756100,9.125190
5,3.996652,84216.743804,0.000000,84216.743804,9.081091
6,3.544075,84682.521756,0.000000,84682.521756,9.031143
7,3.902844,85123.144765,0.000000,85123.144765,8.984395
8,3.758278,84245.463797,0.000000,84245.463797,9.077996
9,3.607350,84022.537746,0.000000,84022.537746,9.102081
10,3.667511,84662.658444,0.000000,84662.658444,9.033262
11,4.113505,84756.424124,0.000000,84756.424124,9.023268
12,3.809197,84643.969303,0.000000,84643.969303,9.035256
13,3.588769,84922.008941,0.000000,84922.008941,9.005674
14,3.502617,84498.663105,0.000000,84498.663105,9.050794
15,3.804793,84290.615280,0.000000,84290.615280,9.073133
16,4.126342,84147.471168,0.000000,84147.471168,9.088567
17,3.022852,85365.993741,0.000000,85365.993741,8.958836
18,4.088050,84526.022651,0.000000,84526.022651,9.047864
19,3.536709,84307.939686,0.000000,84307.939686,9.071268
20,4.073390,84097.660461,0.000000,84097.660461,9.093950
21,3.976322,83990.992017,0.000000,83990.992017,9.105500
22,3.897914,83994.836759,0.000000,83994.836759,9.105083
23,3.987215,83989.430606,0.000000,83989.430606,9.105669
24,3.769670,84127.815427,0.000000,84127.815427,9.090691
25,3.811890,84952.445479,0.000000,84952.445479,9.002448
26,4.004169,85062.067765,0.000000,85062.067765,8.990846
27,3.752684,84797.751868,0.000000,84797.751868,9.018871
28,3.637446,84896.145020,0.000000,84896.145020,9.008418
29,3.999671,85231.331657,0.000000,85231.331657,8.972991
30,4.159618,84966.140956,0.000000,84966.140956,9.000997
31,3.901022,84860.759406,0.000000,84860.759406,9.012174
32,3.717912,85050.814763,0.000000,85050.814763,8.992036
33,3.680317,84141.723735,0.000000,84141.723735,9.089188
34,3.348384,84345.131256,0.000000,84345.131256,9.067269
35,3.731381,84573.710453,0.000000,84573.710453,9.042762
36,3.957969,84560.314242,0.000000,84560.314242,9.044195
37,3.539220,84434.389310,0.000000,84434.389310,9.057683
38,3.857837,84777.770644,0.000000,84777.770644,9.020996
39,2.906786,84507.210770,0.000000,84507.210770,9.049878
40,3.554003,84674.299860,0.000000,84674.299860,9.032020
