step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec
1,4.399524,49858.370362,0.000000,49858.370362,15.339048
2,4.774795,48877.473741,0.000000,48877.473741,15.646880
3,3.688434,49157.586667,0.000000,49157.586667,15.557720
4,3.983828,49030.269282,0.000000,49030.269282,15.598119
5,3.996652,48622.153301,0.000000,48622.153301,15.729043
6,3.544075,49101.569513,0.000000,49101.569513,15.575469
7,3.902844,49599.367326,0.000000,49599.367326,15.419147
8,3.758278,50501.390271,0.000000,50501.390271,15.143741
9,3.607350,49501.016726,0.000000,49501.016726,15.449783
10,3.667511,49732.491413,0.000000,49732.491413,15.377873
11,4.113505,49583.854099,0.000000,49583.854099,15.423972
12,3.809197,49509.697244,0.000000,49509.697244,15.447074
13,3.588769,49722.004085,0.000000,49722.004085,15.381117
14,3.502617,49571.285762,0.000000,49571.285762,15.427882
15,3.804793,49882.418184,0.000000,49882.418184,15.331654
16,4.126342,49392.194148,0.000000,49392.194148,15.483822
17,3.022852,49688.804909,0.000000,49688.804909,15.391394
18,4.088050,49389.516756,0.000000,49389.516756,15.484662
19,3.536709,49568.303897,0.000000,49568.303897,15.428810
20,4.073390,50029.660676,0.000000,50029.660676,15.286531
21,3.976322,49639.898399,0.000000,49639.898399,15.406558
22,3.897914,49454.884593,0.000000,49454.884593,15.464194
23,3.987215,49629.874202,0.000000,49629.874202,15.409669
24,3.769670,49980.366051,0.000000,49980.366051,15.301608
25,3.811890,50004.706285,0.000000,50004.706285,15.294160
26,4.004169,49840.295202,0.000000,49840.295202,15.344611
27,3.752684,49808.259578,0.000000,49808.259578,15.354481
28,3.637446,49907.793371,0.000000,49907.793371,15.323858
29,3.999671,50125.913716,0.000000,50125.913716,15.257177
30,4.159618,49982.564027,0.000000,49982.564027,15.300935
31,3.901022,49745.528688,0.000000,49745.528688,15.373843
32,3.717912,49828.294114,0.000000,49828.294114,15.348307
33,3.680317,49766.433810,0.000000,49766.433810,15.367385
34,3.348384,50500.590235,0.000000,50500.590235,15.143981
35,3.731381,50191.966144,0.000000,50191.966144,15.237099
36,3.957969,50991.161787,0.000000,50991.161787,14.998285
37,3.539220,50396.285611,0.000000,50396.285611,15.175324
38,3.857837,50922.597256,0.000000,50922.597256,15.018479
39,2.906786,50718.437044,0.000000,50718.437044,15.078934
40,3.554003,49919.493558,0.000000,49919.493558,15.320267
