step,loss,computation_time_ms,pure_computation_time,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.535717,49.422497,137.233505,87.811005,137.233505,22713.853516,0.0,0.0,0.0,13
2,4.049492,47.559841,135.001434,87.441589,135.001434,23089.398438,0.0,0.0,0.0,13
3,4.15115,47.113342,133.515961,86.402618,133.515961,23346.287109,0.0,0.0,0.0,13
4,3.605758,46.930687,133.279175,86.348488,133.279175,23387.763672,0.0,0.0,0.0,13
5,3.680338,46.818943,132.98938,86.170441,132.98938,23438.728516,0.0,0.0,0.0,13
6,3.901738,47.028671,133.434235,86.405563,133.434235,23360.585938,0.0,0.0,0.0,13
7,4.0227,47.044159,133.593735,86.549576,133.593735,23332.695312,0.0,0.0,0.0,13
8,3.556271,46.957825,133.629089,86.671265,133.629089,23326.523438,0.0,0.0,0.0,13
9,3.911922,47.32048,134.808609,87.488129,134.808609,23122.423828,0.0,0.0,0.0,13
10,3.621162,47.355072,134.44371,87.088638,134.44371,23185.181641,0.0,0.0,0.0,13
11,4.018101,47.123875,134.06749,86.943619,134.06749,23250.244141,0.0,0.0,0.0,13
