step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.592472,29.682655,48.663139,78.345795,19893.228516,0.000000,0.000000,0.000000,13
2,4.147880,27.271425,48.278564,75.549988,20629.398438,0.000000,0.000000,0.000000,13
3,4.219755,27.472065,48.227932,75.699997,20588.519531,0.000000,0.000000,0.000000,13
4,3.919741,27.452032,48.056801,75.508835,20640.644531,0.000000,0.000000,0.000000,13
5,3.397274,27.309473,48.347939,75.657410,20600.107422,0.000000,0.000000,0.000000,13
6,3.752650,27.325567,48.008095,75.333664,20688.638672,0.000000,0.000000,0.000000,13
7,3.895880,27.345280,48.491230,75.836510,20551.458984,0.000000,0.000000,0.000000,13
8,3.680436,27.591200,48.946747,76.537949,20363.113281,0.000000,0.000000,0.000000,13
9,3.443150,27.744801,48.644703,76.389503,20402.683594,0.000000,0.000000,0.000000,13
10,3.819974,27.523680,48.481186,76.004868,20505.935547,0.000000,0.000000,0.000000,13
11,3.429318,27.319008,48.078049,75.397057,20671.244141,0.000000,0.000000,0.000000,13
