step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.504501,21.088160,799.382996,820.471130,3799.160889,763.368469,0.145408,763.513855,13
1,4.504501,18.760832,808.345581,827.106384,3768.683350,775.486877,0.136000,775.622864,13
1,4.504501,18.636736,812.864502,831.501221,3748.764160,779.979736,0.775168,780.754883,13
1,4.504501,21.603039,810.236694,831.839722,3747.238281,774.677673,0.077824,774.755493,13
2,4.207187,16.289087,809.847656,826.136719,3773.106445,775.925293,0.181088,776.106384,13
2,4.207187,16.049633,810.201233,826.250854,3772.585449,777.176758,0.267264,777.443970,13
2,4.207187,16.229023,809.469910,825.698914,3775.107178,777.022156,0.727040,777.749207,13
2,4.207187,16.233952,809.476318,825.710266,3775.055176,776.754883,0.074752,776.829651,13
3,4.004585,16.262720,809.349304,825.612000,3775.504639,776.332581,0.075776,776.408386,13
3,4.004585,16.258209,810.169067,826.427307,3771.780029,777.015015,0.466944,777.481934,13
3,4.004585,16.035040,810.717834,826.752869,3770.294678,777.981812,1.240064,779.221863,13
3,4.004585,16.205408,810.131409,826.336792,3772.192871,776.720093,0.573440,777.293518,13
4,3.951396,16.251072,810.907532,827.158630,3768.445068,777.395874,0.074752,777.470581,13
4,3.951396,16.152992,810.803162,826.956177,3769.367676,777.850708,1.036288,778.887024,13
4,3.951396,16.217279,811.313049,827.530334,3766.752441,778.089478,1.282048,779.371582,13
4,3.951396,16.331169,811.413391,827.744568,3765.777832,778.302979,0.488448,778.791443,13
5,3.725913,16.384512,812.166687,828.551208,3762.111084,778.387146,0.269024,778.656189,13
5,3.725913,16.077888,814.134399,830.212280,3754.584229,780.480164,1.972224,782.452393,13
5,3.725913,16.129408,813.305847,829.435242,3758.101562,780.285889,1.865728,782.151611,13
5,3.725913,16.323456,813.054565,829.377991,3758.360840,778.984375,0.073600,779.057983,13
6,3.939488,16.312801,813.942932,830.255737,3754.387451,779.196655,0.088096,779.284729,13
6,3.939488,16.131199,813.515259,829.646484,3757.144775,779.574951,1.902592,781.477539,13
6,3.939488,16.333504,813.166626,829.500122,3757.807617,778.794739,0.770048,779.564758,13
6,3.939488,16.245600,813.437744,829.683350,3756.977539,779.091980,2.382848,781.474854,13
7,3.841992,16.437311,811.481506,827.918823,3764.985107,777.528809,0.100352,777.629150,13
7,3.841992,16.144703,811.914551,828.059265,3764.346436,777.892456,1.423296,779.315796,13
7,3.841992,15.994240,811.861023,827.855286,3765.273926,778.774292,1.324032,780.098328,13
7,3.841992,16.311424,811.886719,828.198120,3763.715088,777.939941,0.508928,778.448853,13
8,3.841065,16.459873,812.410645,828.870544,3760.662109,778.966614,0.599040,779.565674,13
8,3.841065,16.187712,812.750732,828.938416,3760.354004,779.655762,0.884736,780.540527,13
8,3.841065,16.042465,812.877930,828.920410,3760.435547,779.440918,0.495616,779.936523,13
8,3.841065,16.371361,812.766541,829.137878,3759.449463,779.540466,0.087040,779.627502,13
9,3.756464,16.442497,811.741516,828.184021,3763.779297,777.713501,0.177152,777.890625,13
9,3.756464,16.077473,813.273865,829.351318,3758.481934,779.262695,1.560576,780.823242,13
9,3.756464,16.133280,813.128723,829.262024,3758.886475,779.984802,1.191936,781.176758,13
9,3.756464,16.302816,813.120056,829.422852,3758.157715,779.063904,0.108512,779.172424,13
10,3.722130,16.359264,809.323120,825.682373,3775.182617,772.576599,0.232192,772.808777,13
10,3.722130,16.087008,810.204346,826.291382,3772.400391,777.016235,1.844032,778.860291,13
10,3.722130,16.101631,810.896790,826.998413,3769.175049,777.399963,1.514368,778.914307,13
10,3.722130,16.307487,810.674438,826.981934,3769.250000,776.626709,0.076800,776.703491,13
11,3.501675,16.247105,811.994385,828.241516,3763.518066,777.632507,0.074752,777.707275,13
11,3.501675,16.106495,812.342773,828.449280,3762.573975,778.853210,1.771328,780.624512,13
11,3.501675,16.057983,812.458191,828.516174,3762.270264,779.514771,1.623040,781.137817,13
11,3.501675,16.282560,811.529175,827.811707,3765.472168,777.908142,0.976896,778.885010,13
