step,loss,computation_time_ms,pure_computation_time,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.608071,33.228737,91.53402700000001,239.746796,272.975525,11418.979492,181.369827,0.07168,181.441498,13
2,4.282998,26.38032,84.251679,243.063705,269.444031,11568.643555,183.873444,1.318912,185.192352,13
2,4.282998,27.267168,87.84533700000003,242.126175,269.393341,11570.819336,181.449661,0.098336,181.548004,13
3,3.916059,26.409664,83.28428600000001,241.525085,267.934753,11633.810547,182.177505,2.47296,184.650467,13
3,3.916059,25.763712,85.93223499999999,240.980881,266.744598,11685.717773,180.714066,0.098304,180.812363,13
4,3.948865,26.800896,86.38125599999998,241.457092,268.257996,11619.791016,181.776382,0.100352,181.87674,13
4,3.948865,26.137184,83.08918799999998,242.501831,268.639008,11603.311523,184.374115,1.175712,185.54982,13
5,3.828027,26.13088,84.48388700000004,240.845047,266.975922,11675.592773,182.404999,0.08704,182.492035,13
5,3.828027,26.128384,83.40689,240.686676,266.815063,11682.630859,182.00325,1.404928,183.408173,13
6,3.894452,26.429184,88.13973999999999,243.796036,270.22522,11535.199219,181.973862,0.111616,182.08548,13
6,3.894452,26.37472,84.06054699999999,243.442017,269.816742,11552.662109,184.195618,1.560576,185.756195,13
7,3.687314,26.164576,84.146637,242.892853,269.057434,11585.266602,181.602249,3.308544,184.910797,13
7,3.687314,26.358337,86.92532299999999,242.911499,269.269836,11576.12793,182.200134,0.144384,182.344513,13
8,3.390718,26.265345,82.43031400000001,241.214813,267.480164,11653.581055,183.725815,1.324032,185.04985,13
8,3.390718,25.975775,85.19885299999999,241.050171,267.02594,11673.404297,181.755417,0.07168,181.827087,13
9,3.846269,25.939423,83.57470699999999,241.896606,267.836029,11638.097656,182.280899,1.980416,184.261322,13
9,3.846269,26.456097,85.42268299999998,241.260788,267.716888,11643.276367,182.205185,0.089024,182.294205,13
10,3.683476,26.285536,99.07589700000003,255.748245,282.033783,11052.229492,182.894409,0.063488,182.957886,13
10,3.683476,26.671425,86.03115799999998,255.6539,282.325317,11040.81543,195.832336,0.461824,196.294159,13
11,3.691745,26.237183,86.650406,244.452393,270.689575,11515.411133,183.532288,0.50688,184.039169,13
11,3.691745,27.032578,88.53999399999998,244.485977,271.518555,11480.253906,182.912003,0.06656,182.978561,13
