step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
16,3.536009,10.823424,802.243652,813.067078,1916.878662,780.633606,0.074752,780.708374,13
16,3.536009,10.680161,802.517212,813.197388,1916.571533,781.591064,1.036288,782.627441,13
16,3.536009,10.596768,802.975159,813.571899,1915.689331,782.175171,0.974912,783.150085,13
16,3.536009,10.761696,802.648254,813.409973,1916.070557,781.461548,0.559104,782.020630,13
17,3.524465,10.988960,794.924683,805.913635,1933.893311,773.875977,0.084832,773.960815,13
17,3.524465,10.631776,795.460266,806.092041,1933.465210,775.223267,0.762688,775.985962,13
17,3.524465,10.681215,795.337158,806.018372,1933.642090,775.021606,0.616448,775.638062,13
17,3.524465,10.889760,794.696655,805.586426,1934.678833,774.030029,0.071616,774.101685,13
18,3.608081,10.823936,798.544006,809.367920,1925.639648,777.947449,0.061152,778.008606,13
18,3.608081,10.589600,799.691223,810.280823,1923.470215,779.285645,0.287744,779.573364,13
18,3.608081,10.619553,799.176270,809.795837,1924.622070,779.038574,0.494592,779.533081,13
18,3.608081,10.803232,799.130310,809.933533,1924.294922,778.723083,0.242688,778.965759,13
19,3.434198,10.845088,801.876770,812.721863,1917.692993,781.140503,0.057056,781.197510,13
19,3.434198,10.626080,802.120728,812.746826,1917.633911,781.600586,0.665600,782.266174,13
19,3.434198,10.538368,802.590881,813.129272,1916.732056,782.169800,0.661504,782.831299,13
19,3.434198,10.852480,801.932312,812.784790,1917.544434,781.052673,0.362496,781.415161,13
20,3.598605,11.039871,797.436768,808.476624,1927.762573,776.675049,0.082944,776.758057,13
20,3.598605,10.627169,798.416199,809.043396,1926.411987,777.797241,0.954368,778.751587,13
20,3.598605,10.583391,798.498535,809.081909,1926.320312,777.940735,0.928768,778.869507,13
20,3.598605,10.682400,798.241333,808.923706,1926.697021,777.518921,0.266240,777.785156,13
21,3.692428,12.135488,791.678101,803.813599,1938.945679,769.692139,0.431104,770.123230,13
21,3.692428,12.654495,797.581238,810.235718,1923.577148,774.873047,0.580544,775.453613,13
21,3.692428,12.503839,802.273132,814.776978,1912.855957,780.456970,0.645120,781.102112,13
21,3.692428,12.529408,802.395325,814.924744,1912.509033,780.396118,0.081920,780.478027,13
22,3.746392,10.985504,798.299927,809.285461,1925.835815,777.314392,0.064512,777.378906,13
22,3.746392,10.588928,799.113647,809.702576,1924.843750,778.783386,0.778240,779.561646,13
22,3.746392,10.646976,799.165466,809.812439,1924.582642,778.743774,0.260096,779.003906,13
22,3.746392,10.911168,798.614624,809.525818,1925.263916,778.132568,0.072704,778.205200,13
23,3.527959,11.019840,792.824280,803.844116,1938.872192,771.919006,0.057344,771.976379,13
23,3.527959,10.572608,793.978271,804.550903,1937.168945,773.389893,0.608448,773.998352,13
23,3.527959,10.942305,792.673035,803.615356,1939.424194,772.003723,0.834560,772.838257,13
23,3.527959,10.862112,792.669556,803.531677,1939.625977,771.496643,0.229312,771.725952,13
24,3.792543,10.880735,794.982971,805.863708,1934.012939,774.212097,0.076064,774.288147,13
24,3.792543,10.638720,795.726746,806.365479,1932.809570,774.965820,0.873472,775.839355,13
24,3.792543,10.629472,796.398804,807.028259,1931.222290,775.828247,0.689152,776.517456,13
24,3.792543,10.898656,795.478577,806.377258,1932.781372,775.002930,0.588768,775.591675,13
25,3.284863,10.900736,797.679199,808.579956,1927.516113,777.854370,0.092960,777.947388,13
25,3.284863,10.612608,798.552185,809.164795,1926.122925,778.917725,0.202752,779.120483,13
25,3.284863,10.824896,797.731018,808.555908,1927.573486,778.151855,0.354304,778.506165,13
25,3.284863,10.834721,797.660034,808.494751,1927.719238,778.177246,0.131072,778.308289,13
26,3.643570,10.902624,796.525757,807.428406,1930.265137,776.140625,0.066560,776.207275,13
26,3.643570,10.610497,797.406494,808.016968,1928.859253,777.211853,0.885760,778.097595,13
26,3.643570,10.539360,797.689026,808.228394,1928.354614,777.574097,0.874496,778.448608,13
26,3.643570,10.665888,797.520264,808.186157,1928.455444,777.413208,0.493568,777.906799,13
27,3.728170,10.846560,795.251343,806.097900,1933.451050,775.221069,0.060416,775.281494,13
27,3.728170,10.625664,795.704834,806.330505,1932.893433,775.581543,0.589824,776.171387,13
27,3.728170,10.594751,796.415771,807.010498,1931.264771,776.630127,0.618496,777.248535,13
27,3.728170,10.667744,796.252747,806.920471,1931.480225,776.629028,0.571392,777.200439,13
28,3.723024,11.003551,795.087036,806.090576,1933.468750,775.127808,0.052224,775.180054,13
28,3.723024,10.553345,796.674255,807.227600,1930.745361,776.968079,0.195584,777.163635,13
28,3.723024,10.757952,795.567078,806.325012,1932.906616,775.878296,0.483328,776.361694,13
28,3.723024,10.693472,795.382751,806.076233,1933.503052,775.721863,0.410624,776.132507,13
29,3.647953,10.865728,799.844421,810.710144,1922.451538,779.467651,0.071680,779.539307,13
29,3.647953,10.710784,800.586609,811.297363,1921.060059,780.511841,0.801792,781.313660,13
29,3.647953,10.554880,801.052734,811.607605,1920.325684,781.050659,0.576384,781.627014,13
29,3.647953,10.720673,800.654297,811.375000,1920.876099,780.486328,0.847872,781.334229,13
30,3.581468,10.837952,798.312866,809.150818,1926.156250,777.867493,0.077824,777.945312,13
30,3.581468,10.674368,797.807312,808.481689,1927.750488,776.839844,0.700320,777.540161,13
30,3.581468,10.553440,798.027344,808.580811,1927.514160,777.768921,0.702464,778.471375,13
30,3.581468,10.653984,797.801697,808.455688,1927.812378,777.732605,0.439264,778.171875,13
