step,loss,computation_time_ms,pure_computation_time,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
5,3.675828,10.836544,30.73510799999997,959.459656,970.296204,3212.526123,938.498352,1.06272,939.561096,13
5,3.675828,10.828833,30.497010000000046,959.500427,970.329285,3212.416748,938.614746,1.217536,939.832275,13
5,3.675828,10.819296,31.610473999999954,959.482056,970.301331,3212.509277,937.832764,0.858112,938.690857,13
5,3.675828,11.162432,32.04614200000003,959.072327,970.234741,3212.729736,937.666382,0.52224,938.188599,13
5,3.675828,10.787264,31.56530699999996,959.154236,969.941528,3213.700684,937.790405,0.585728,938.376221,13
5,3.675828,11.139616,32.069091999999955,959.075745,970.215332,3212.793945,937.630127,0.516096,938.14624,13
5,3.675828,10.775232,30.653685999999993,959.232544,970.007751,3213.481201,938.211304,1.142784,939.354065,13
5,3.675828,10.894368,34.862854000000084,959.301147,970.195496,3212.859619,935.259888,0.072704,935.332642,13
6,3.694367,10.736576,30.168884000000048,958.840332,969.576904,3214.909424,938.408569,0.999424,939.40802,13
6,3.694367,10.722272,30.172118999999952,958.857971,969.580261,3214.898438,938.233826,1.174304,939.408142,13
6,3.694367,10.574688,29.95105000000001,958.857361,969.432068,3215.389648,938.307495,1.173504,939.481018,13
6,3.694367,10.717888,30.179932000000008,958.862122,969.580017,3214.89917,938.306458,1.093632,939.400085,13
6,3.694367,11.012608,31.330016999999998,958.445923,969.458557,3215.301758,937.805969,0.32256,938.12854,13
6,3.694367,10.769664,31.44464199999993,958.70874,969.478394,3215.236084,937.934448,0.099328,938.033752,13
6,3.694367,10.718592,31.666137999999933,958.6026,969.321167,3215.757324,937.579224,0.075776,937.655029,13
6,3.694367,10.843712,31.32592699999998,958.632751,969.47644,3215.242676,937.809509,0.340992,938.150513,13
7,3.86518,10.699008,30.357483000000002,953.802246,964.501282,3231.827637,933.367554,0.776192,934.143799,13
7,3.86518,10.73664,30.61749300000008,953.765198,964.501831,3231.825684,933.475769,0.408576,933.884338,13
7,3.86518,10.959295,30.47699,953.545166,964.504456,3231.816895,933.181641,0.845824,934.027466,13
7,3.86518,10.700224,30.612487999999985,953.802551,964.502747,3231.822754,933.367004,0.523264,933.890259,13
7,3.86518,10.769216,31.64740000000006,953.698242,964.467468,3231.940918,932.742065,0.077952,932.820068,13
7,3.86518,10.915552,31.343445000000088,953.365662,964.281189,3232.565186,932.606934,0.330752,932.937744,13
7,3.86518,10.766848,31.231689999999958,953.70813,964.474976,3231.915771,932.984253,0.259072,933.243286,13
7,3.86518,10.659456,31.35546899999997,953.71344,964.372925,3232.257812,932.83313,0.18432,933.017456,13
8,3.763943,10.720672,30.536987000000067,951.147461,961.868103,3240.675049,930.28894,1.042176,931.331116,13
8,3.763943,10.684352,31.022765999999933,951.201355,961.885681,3240.615723,930.092896,0.770048,930.862915,13
8,3.763943,10.694944,30.526122999999984,951.175293,961.870239,3240.667725,930.282227,1.061888,931.344116,13
8,3.763943,10.82368,31.798584000000005,950.837585,961.661255,3241.37207,929.453064,0.4096,929.862671,13
8,3.763943,10.98368,32.23230000000001,950.729065,961.712769,3241.198486,929.175293,0.305152,929.480469,13
8,3.763943,10.690817,30.67230200000006,951.182251,961.873047,3240.658203,930.285278,0.915456,931.200745,13
8,3.763943,10.706304,32.68383799999992,950.781738,961.488037,3241.956055,928.727417,0.0768,928.804199,13
8,3.763943,10.62816,31.766723999999954,950.796875,961.425049,3242.168457,929.156555,0.50176,929.658325,13
9,3.686973,10.737792,31.228699000000006,963.84137,974.579163,3198.408203,942.923706,0.426816,943.350464,13
