step,loss,computation_time_ms,pure_computation_time,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.679526,11.59024,30.062010999999984,782.481689,794.071899,981.366333,763.930054,0.07984,764.009888,13
1,4.679526,11.051904,27.279174000000012,789.063477,800.115356,973.953918,772.679443,0.156672,772.836182,13
1,4.679526,10.872448,27.07269199999996,794.004944,804.87738,968.191528,777.57019,0.234496,777.804688,13
1,4.679526,11.621056,29.755371000000082,793.884033,805.505066,967.437134,775.66571,0.083968,775.749695,13
2,4.247883,9.110048,25.52838200000008,798.642822,807.752869,964.744934,782.155762,0.068672,782.224487,13
2,4.247883,8.412256,23.824889999999982,800.745605,809.157837,963.069824,784.90387,0.429056,785.332947,13
2,4.247883,8.350945,23.471985000000018,799.890747,808.241699,964.161377,784.250671,0.51904,784.769714,13
2,4.247883,8.938656,25.384642999999983,799.049988,807.988647,964.463379,782.4729,0.131072,782.604004,13
3,3.760069,8.712608,24.959838999999988,794.611877,803.324463,970.063171,778.198975,0.165632,778.364624,13
3,3.760069,8.510816,24.192076999999927,795.449768,803.960571,969.295654,779.681458,0.08704,779.768494,13
3,3.760069,8.65712,24.795837000000006,795.180481,803.837585,969.443909,778.964966,0.0768,779.041748,13
3,3.760069,8.395424,23.521484999999984,795.699341,804.094788,969.13385,780.315247,0.258048,780.573303,13
4,4.198146,8.642241,24.53198199999997,796.611389,805.253601,967.739197,780.539368,0.182272,780.721619,13
4,4.198146,8.56928,23.33490000000006,795.920898,804.490173,968.657532,780.640198,0.515072,781.155273,13
4,4.198146,8.511584,23.162048000000027,796.309448,804.821045,968.259277,781.266785,0.392192,781.658997,13
4,4.198146,8.569536,24.367492999999968,796.440796,805.010315,968.031677,780.56189,0.080896,780.642822,13
5,3.87017,8.733216,25.402405000000044,790.389893,799.123108,975.163208,773.545593,0.175104,773.720703,13
5,3.87017,8.438175,24.90631099999996,791.206421,799.644592,974.527283,774.552917,0.185344,774.738281,13
5,3.87017,8.589536,24.369872999999984,790.629639,799.219177,975.045959,774.26886,0.580448,774.849304,13
5,3.87017,8.62208,25.45532199999991,790.700439,799.32251,974.919983,773.784241,0.082944,773.867188,13
6,3.911231,8.79616,29.11083999999994,792.343018,801.13916,972.709229,771.825562,0.202752,772.02832,13
6,3.911231,8.626848,23.244384999999966,792.569397,801.196228,972.639954,777.38147,0.570368,777.951843,13
6,3.911231,8.410592,22.976196000000073,793.176086,801.58667,972.166199,778.038086,0.572416,778.610474,13
6,3.911231,8.615393,25.177856999999904,792.979431,801.594849,972.156311,776.339233,0.077824,776.416992,13
7,3.741947,8.798944,25.494568000000072,794.02417,802.82312,970.668945,777.252747,0.075776,777.328552,13
7,3.741947,8.673088,23.913757000000032,794.341248,803.014343,970.437805,778.720703,0.379904,779.100586,13
7,3.741947,8.552192,23.946533000000045,794.633728,803.185913,970.230469,778.709961,0.529408,779.23938,13
7,3.741947,9.002785,24.74920599999996,793.977173,802.97998,970.479309,777.806824,0.423936,778.230774,13
8,3.621053,8.729504,24.613647000000014,793.628357,802.357849,971.231812,777.656128,0.088064,777.744202,13
8,3.621053,8.605247,23.292479999999955,794.023376,802.628601,970.904236,779.091553,0.244544,779.336121,13
8,3.621053,8.479968,23.53082299999994,794.029846,802.509827,971.047913,778.80188,0.177152,778.979004,13
8,3.621053,8.930624,24.28308100000004,793.515442,802.446045,971.125061,777.921326,0.241664,778.162964,13
9,3.720993,8.807648,25.140197000000057,793.397949,802.205627,971.416138,776.999878,0.065536,777.06543,13
9,3.720993,8.397696,23.72961399999997,793.918762,802.316467,971.28186,778.214111,0.372736,778.586853,13
9,3.720993,8.396768,23.788269000000014,794.401428,802.798218,970.699036,778.566528,0.443392,779.009949,13
9,3.720993,8.825056,24.60199,793.89917,802.724243,970.788513,778.031128,0.091136,778.122253,13
10,3.973499,8.700704,25.175354000000084,799.316589,808.017273,964.429199,782.559265,0.282624,782.841919,13
10,3.973499,8.810464,24.679932000000008,799.078064,807.88855,964.582825,782.872742,0.335872,783.208618,13
10,3.973499,8.442912,23.71350099999995,799.974854,808.417786,963.951416,784.372498,0.331776,784.704285,13
10,3.973499,8.654464,24.997742000000017,799.756348,808.410828,963.959717,783.338318,0.074752,783.413086,13
11,4.155493,8.969536,25.15698199999997,797.643799,806.613342,966.107849,781.39801,0.058368,781.45636,13
11,4.155493,8.393952,23.58068800000001,799.002014,807.395996,965.171326,783.365845,0.44944,783.815308,13
11,4.155493,8.55344,23.665832000000023,797.896729,806.450195,966.303284,782.354309,0.43008,782.784363,13
11,4.155493,8.946912,25.00353999999993,797.152588,806.099487,966.723694,780.947388,0.14848,781.095947,13
12,3.57998,8.718143,24.806457000000023,793.470093,802.188232,971.437195,777.299866,0.08192,777.381775,13
12,3.57998,8.450592,23.117432000000008,793.750122,802.200684,971.422119,778.581665,0.501632,779.083252,13
12,3.57998,8.432864,23.30773899999997,794.498108,802.930969,970.538635,779.23822,0.385024,779.62323,13
12,3.57998,8.866144,24.02258299999994,793.975769,802.841919,970.64624,778.43634,0.382976,778.819336,13
13,3.902158,8.983264,25.539671999999996,795.288208,804.271484,968.920898,778.660156,0.07168,778.731812,13
13,3.902158,8.360064,23.717895999999996,796.538452,804.898499,968.166138,780.737183,0.443392,781.180603,13
13,3.902158,8.39616,24.201843000000054,796.023804,804.419983,968.742004,779.766541,0.451584,780.21814,13
13,3.902158,8.670432,24.56939699999998,795.366638,804.037048,969.20343,779.251587,0.216064,779.467651,13
14,3.342906,8.796992,25.744140000000016,799.524658,808.321655,964.066101,782.422852,0.154624,782.577515,13
14,3.342906,8.441441,23.994445999999925,800.247314,808.688782,963.628418,784.508972,0.185344,784.694336,13
14,3.342906,8.898592,24.476807000000008,799.008728,807.907349,964.560425,782.859131,0.571392,783.430542,13
14,3.342906,8.677568,26.545654000000013,799.549622,808.227173,964.178711,781.60675,0.074752,781.681519,13
15,3.675077,8.777728,25.49456799999996,792.759888,801.537598,972.225769,775.961121,0.08192,776.04303,13
15,3.675077,8.80192,24.538880000000063,793.190308,801.992249,971.674561,777.035645,0.417792,777.453369,13
15,3.675077,8.676384,23.600829999999974,793.459045,802.135437,971.50116,778.064575,0.470016,778.534607,13
15,3.675077,8.6752,24.986327999999958,793.267212,801.942383,971.734985,776.775818,0.180224,776.956055,13
16,3.969574,8.823232,26.24255400000004,792.601379,801.424622,972.362732,775.116516,0.065536,775.182068,13
16,3.969574,8.458976,23.95867899999996,793.019226,801.47821,972.297729,776.958496,0.56096,777.519531,13
16,3.969574,8.425505,23.36944600000004,793.616577,802.042053,971.614197,778.038818,0.63376,778.672607,13
16,3.969574,8.680768,24.46453800000006,793.238098,801.918884,971.763489,777.239319,0.21504,777.454346,13
17,3.728446,9.057056,25.934387000000015,791.95813,801.015198,972.859741,775.011108,0.069632,775.080811,13
17,3.728446,8.353216,23.859130999999934,793.423279,801.776489,971.936035,777.717651,0.19968,777.917358,13
17,3.728446,8.400032,23.32879600000001,793.176941,801.576965,972.177917,777.957275,0.290816,778.248169,13
17,3.728446,8.672672,24.855102999999986,792.731323,801.403992,972.387756,776.439331,0.109568,776.548889,13
18,3.947397,8.772608,25.416259999999966,794.865479,803.638062,969.684631,778.144287,0.077568,778.221802,13
18,3.947397,8.41936,23.524840999999924,795.991211,804.410583,968.753418,780.369629,0.516096,780.885742,13
18,3.947397,8.444064,23.61059499999999,795.806641,804.250732,968.945984,780.169067,0.47104,780.640137,13
18,3.947397,8.639552,24.653809000000024,795.505493,804.14502,969.073303,779.361206,0.130048,779.491211,13
19,3.493841,8.859776,25.03723100000002,795.04364,803.903442,969.364502,778.802734,0.063488,778.866211,13
