step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.679814,54.293343,100884.484375,100938.781250,7.720278,100180.648438,657.444885,100838.093750,13
2,4.246535,44.825920,122371.125000,122415.953125,6.365800,121849.453125,475.012085,122324.468750,13
3,3.758687,46.185249,122223.968750,122270.156250,6.373391,121469.726562,705.578979,122175.304688,13
4,4.197427,44.834114,122311.468750,122356.304688,6.368903,121815.750000,449.120270,122264.875000,13
5,3.871236,46.266083,122590.945312,122637.210938,6.354315,121943.437500,601.372681,122544.812500,13
6,3.911722,46.308735,122251.875000,122298.187500,6.371930,121608.656250,597.070862,122205.726562,13
7,3.742341,45.681503,122243.734375,122289.414062,6.372387,121777.093750,420.627441,122197.718750,13
8,3.620188,44.353951,122207.859375,122252.210938,6.374326,121956.171875,204.127228,122160.296875,13
9,3.721181,46.548607,122342.062500,122388.609375,6.367222,122073.156250,222.437378,122295.593750,13
10,3.974746,44.914112,122511.593750,122556.507812,6.358500,122020.171875,444.878845,122465.046875,13
11,4.155978,46.717758,122384.820312,122431.539062,6.364989,122004.312500,334.184448,122338.500000,13
