step,loss,computation_time_ms,pure_computation_time,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.592438,253.435837,591.327942,337.89209,591.327942,2635.679443,0.0,0.0,0.0,13
2,4.147285,244.891327,576.421692,331.530365,576.421692,2703.838135,0.0,0.0,0.0,13
3,4.219645,256.050171,600.35907,344.308899,600.35907,2596.03125,0.0,0.0,0.0,13
4,3.919651,266.010223,631.803528,365.793304,631.803528,2466.828613,0.0,0.0,0.0,13
5,3.398112,254.255783,593.309692,339.053894,593.309692,2626.875732,0.0,0.0,0.0,13
6,3.753321,246.035965,582.020325,335.984375,582.020325,2677.829102,0.0,0.0,0.0,13
7,3.895622,248.541504,588.909973,340.368469,588.909973,2646.501221,0.0,0.0,0.0,13
8,3.679698,244.924744,580.364746,335.440002,580.364746,2685.467773,0.0,0.0,0.0,13
9,3.443248,246.417542,583.942444,337.524902,583.942444,2669.014404,0.0,0.0,0.0,13
10,3.820031,246.537888,580.929565,334.391663,580.929565,2682.856934,0.0,0.0,0.0,13
11,3.428683,248.086304,586.867432,338.781128,586.867432,2655.711914,0.0,0.0,0.0,13
