step,loss,computation_time_ms,pure_computation_time,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.648418,74.080605,155.38281299999653,56733.183594,56807.265625,13.717884,56601.820312,50.060287,56651.882812,13
2,4.598141,65.264099,149.484375,81545.484375,81610.75,9.548686,81446.398438,14.870528,81461.265625,13
3,3.723624,68.541595,154.5703130000038,81485.109375,81553.648438,9.555372,81358.875,40.200191,81399.078125,13
4,4.078612,69.773827,155.9765619999962,81528.453125,81598.226562,9.550152,81403.242188,39.007233,81442.25,13
5,3.919976,65.73539,146.8984380000038,81508.820312,81574.554688,9.552923,81388.9375,38.726658,81427.65625,13
6,3.392395,65.890465,146.5390619999962,81527.367188,81593.257812,9.550735,81406.5625,40.164352,81446.71875,13
7,3.881979,64.686684,146.0703130000038,81566.523438,81631.210938,9.546293,81451.34375,33.799168,81485.140625,13
8,3.975906,65.846817,145.8125,81533.21875,81599.0625,9.550055,81412.453125,40.792065,81453.25,13
9,3.584838,66.820892,150.59375,81513.304688,81580.125,9.552271,81390.265625,39.268353,81429.53125,13
10,3.752237,65.649246,149.0625,81540.421875,81606.070312,9.549234,81416.21875,40.794113,81457.007812,13
11,4.265281,65.103302,148.60937399999239,81544.375,81609.476562,9.548836,81417.609375,43.25581,81460.867188,13
