step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.646886,18.497375,220.374298,238.871674,6524.636719,187.986542,1.264640,189.251175,13
step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.646886,21.789856,217.398499,239.188354,6515.998047,182.053802,0.068608,182.122406,13
2,4.366857,16.287937,221.355652,237.643585,6558.354980,182.341064,0.911360,183.252411,13
2,4.366857,16.074816,221.579590,237.654404,6558.056641,188.386597,0.064480,188.451080,13
3,3.928934,16.060320,215.785507,231.845825,6722.359375,183.622345,0.065280,183.687622,13
3,3.928934,16.129025,215.697601,231.826630,6722.915527,183.927551,0.424960,184.352509,13
4,3.788651,16.044640,216.471954,232.516602,6702.966309,183.606995,1.127424,184.734406,13
4,3.788651,16.240864,216.476166,232.717026,6697.193359,183.443146,0.062464,183.505600,13
5,3.513484,16.114624,216.350723,232.465347,6704.444336,181.733765,0.111616,181.845367,13
5,3.513484,16.104193,216.339050,232.443237,6705.081543,183.665497,1.362944,185.028442,13
6,3.812740,16.181952,216.471725,232.653671,6699.017090,184.092392,0.751616,184.844009,13
6,3.812740,16.122911,216.612900,232.735809,6696.652832,184.410812,0.061312,184.472122,13
7,3.791058,16.187263,216.612274,232.799545,6694.819824,184.090393,0.890880,184.981277,13
7,3.791058,16.081665,216.051300,232.132965,6714.043457,184.133484,0.062464,184.195938,13
8,3.593909,16.163969,215.211960,231.375931,6736.011230,182.512390,0.664576,183.176956,13
8,3.593909,16.183968,215.071289,231.255264,6739.526367,181.839294,0.070656,181.909943,13
9,3.562579,16.221151,217.041290,233.262436,6681.534180,183.627716,1.492992,185.120697,13
9,3.562579,16.126272,216.613159,232.739426,6696.549316,183.361343,0.071680,183.433014,13
10,3.348918,16.180321,213.922394,230.102722,6773.283691,181.327011,0.070656,181.397675,13
10,3.348918,16.187103,214.099686,230.286789,6767.869141,181.513123,0.481280,181.994385,13
11,3.498162,16.215361,216.139557,232.354919,6707.630371,181.862396,0.053248,181.915649,13
11,3.498162,16.260832,216.138626,232.399460,6706.345215,181.690170,0.227328,181.917496,13
