step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec
1,4.677649,12706.476860,0.000000,12706.476860,15.047050
2,5.190830,12164.423111,0.000000,12164.423111,15.717555
3,4.437739,12197.775313,0.000000,12197.775313,15.674579
4,4.138213,12298.783887,0.000000,12298.783887,15.545845
5,4.144533,12839.999514,0.000000,12839.999514,14.890576
6,3.834246,12688.394605,0.000000,12688.394605,15.068493
7,4.297795,12381.049390,0.000000,12381.049390,15.442551
8,4.280394,12494.200067,0.000000,12494.200067,15.302699
9,4.249561,12391.206129,0.000000,12391.206129,15.429893
10,4.392188,12636.322958,0.000000,12636.322958,15.130587
11,3.911198,12551.558953,0.000000,12551.558953,15.232768
12,3.738631,12527.414652,0.000000,12527.414652,15.262127
13,3.840884,12391.811891,0.000000,12391.811891,15.429139
14,4.367394,12411.964088,0.000000,12411.964088,15.404088
15,4.130939,12316.806825,0.000000,12316.806825,15.523097
16,4.013472,12494.985686,0.000000,12494.985686,15.301737
17,3.796318,12309.302961,0.000000,12309.302961,15.532560
18,4.357057,12343.474481,0.000000,12343.474481,15.489560
19,3.766616,12311.524736,0.000000,12311.524736,15.529757
20,4.552444,12550.412267,0.000000,12550.412267,15.234160
21,4.530053,12718.371362,0.000000,12718.371362,15.032977
22,4.067401,12497.437429,0.000000,12497.437429,15.298735
23,3.969010,12442.039361,0.000000,12442.039361,15.366853
24,3.450136,12341.636855,0.000000,12341.636855,15.491866
25,4.493859,12303.701985,0.000000,12303.701985,15.539631
26,4.036770,12288.653060,0.000000,12288.653060,15.558661
27,3.442925,12292.309267,0.000000,12292.309267,15.554033
28,3.993679,12511.584805,0.000000,12511.584805,15.281436
29,4.201677,12590.094462,0.000000,12590.094462,15.186144
30,4.542442,12320.493891,0.000000,12320.493891,15.518452
31,4.306015,12340.478311,0.000000,12340.478311,15.493321
32,4.854150,12292.275169,0.000000,12292.275169,15.554077
33,4.583709,12277.922309,0.000000,12277.922309,15.572259
34,4.122868,12464.550341,0.000000,12464.550341,15.339100
35,4.334546,12314.928463,0.000000,12314.928463,15.525465
36,3.401594,12246.159418,0.000000,12246.159418,15.612649
37,3.661727,12283.226842,0.000000,12283.226842,15.565534
38,3.331205,12286.687174,0.000000,12286.687174,15.561151
39,3.570896,12305.070112,0.000000,12305.070112,15.537903
40,3.904978,12298.075124,0.000000,12298.075124,15.546741
