step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec
1,4.677649,8294.531681,0.000000,8294.531681,23.050727
2,5.190830,8213.362186,0.000000,8213.362186,23.278529
3,4.437739,7953.915073,0.000000,7953.915073,24.037846
4,4.138213,7955.663650,0.000000,7955.663650,24.032563
5,4.144533,7992.891296,0.000000,7992.891296,23.920629
6,3.834246,8020.365192,0.000000,8020.365192,23.838689
7,4.297795,7965.269410,0.000000,7965.269410,24.003581
8,4.280394,8124.656168,0.000000,8124.656168,23.532687
9,4.249561,8029.771876,0.000000,8029.771876,23.810762
10,4.392188,8188.966630,0.000000,8188.966630,23.347877
11,3.911198,8017.289024,0.000000,8017.289024,23.847835
12,3.738631,8055.745846,0.000000,8055.745846,23.733990
13,3.840884,7961.680695,0.000000,7961.680695,24.014400
14,4.367394,7996.049228,0.000000,7996.049228,23.911182
15,4.130939,8033.813087,0.000000,8033.813087,23.798785
16,4.013472,8030.561361,0.000000,8030.561361,23.808421
17,3.796318,8005.817929,0.000000,8005.817929,23.882006
18,4.357057,8059.423392,0.000000,8059.423392,23.723160
19,3.766616,8109.648900,0.000000,8109.648900,23.576235
20,4.552444,8186.809306,0.000000,8186.809306,23.354030
21,4.530053,7985.768927,0.000000,7985.768927,23.941964
22,4.067401,7995.401986,0.000000,7995.401986,23.913118
23,3.969010,8041.851501,0.000000,8041.851501,23.774996
24,3.450136,7989.342054,0.000000,7989.342054,23.931256
25,4.493859,8049.693255,0.000000,8049.693255,23.751835
26,4.036770,7971.072749,0.000000,7971.072749,23.986105
27,3.442925,8185.602243,0.000000,8185.602243,23.357474
28,3.993679,8056.254501,0.000000,8056.254501,23.732491
29,4.201677,8325.093275,0.000000,8325.093275,22.966108
30,4.542442,8255.407854,0.000000,8255.407854,23.159969
31,4.306015,8036.669628,0.000000,8036.669628,23.790326
32,4.854150,8056.406819,0.000000,8056.406819,23.732042
33,4.583709,8066.288473,0.000000,8066.288473,23.702969
34,4.122868,7980.443407,0.000000,7980.443407,23.957941
35,4.334546,8068.154587,0.000000,8068.154587,23.697487
36,3.401594,8152.703744,0.000000,8152.703744,23.451728
37,3.661727,8120.707993,0.000000,8120.707993,23.544128
38,3.331205,8159.158388,0.000000,8159.158388,23.433175
39,3.570896,8047.498107,0.000000,8047.498107,23.758314
40,3.904978,8469.513693,0.000000,8469.513693,22.574494
