step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec
1,4.677649,21769.080099,0.000000,21769.080099,8.782869
2,5.190830,21165.467029,0.000000,21165.467029,9.033346
3,4.437739,21250.369603,0.000000,21250.369603,8.997255
4,4.138213,21390.027271,0.000000,21390.027271,8.938511
5,4.144533,21525.269074,0.000000,21525.269074,8.882351
6,3.834246,21296.073886,0.000000,21296.073886,8.977945
7,4.297795,21332.103598,0.000000,21332.103598,8.962782
8,4.280394,21383.919016,0.000000,21383.919016,8.941064
9,4.249561,21463.239617,0.000000,21463.239617,8.908021
10,4.392188,21322.309905,0.000000,21322.309905,8.966898
11,3.911198,21165.923712,0.000000,21165.923712,9.033151
12,3.738631,21436.468181,0.000000,21436.468181,8.919146
13,3.840884,21313.442730,0.000000,21313.442730,8.970629
14,4.367394,21370.018601,0.000000,21370.018601,8.946880
15,4.130939,21243.154690,0.000000,21243.154690,9.000311
16,4.013472,21514.348702,0.000000,21514.348702,8.886859
17,3.796318,21298.795308,0.000000,21298.795308,8.976798
18,4.357057,21499.629557,0.000000,21499.629557,8.892943
19,3.766616,21136.378091,0.000000,21136.378091,9.045778
20,4.552444,21033.138496,0.000000,21033.138496,9.090179
21,4.530053,21151.911913,0.000000,21151.911913,9.039135
22,4.067401,21028.382219,0.000000,21028.382219,9.092235
23,3.969010,21040.171622,0.000000,21040.171622,9.087140
24,3.450136,20908.326693,0.000000,20908.326693,9.144442
25,4.493859,21675.155212,0.000000,21675.155212,8.820928
26,4.036770,21152.743273,0.000000,21152.743273,9.038780
27,3.442925,21158.941646,0.000000,21158.941646,9.036132
28,3.993679,21113.450325,0.000000,21113.450325,9.055601
29,4.201677,21200.779524,0.000000,21200.779524,9.018300
30,4.542442,21083.075657,0.000000,21083.075657,9.068648
31,4.306015,20952.046942,0.000000,20952.046942,9.125361
32,4.854150,21145.176022,0.000000,21145.176022,9.042015
33,4.583709,21132.181013,0.000000,21132.181013,9.047575
34,4.122868,21290.855987,0.000000,21290.855987,8.980146
35,4.334546,21443.831641,0.000000,21443.831641,8.916083
36,3.401594,21465.287511,0.000000,21465.287511,8.907171
37,3.661727,21354.910759,0.000000,21354.910759,8.953209
38,3.331205,21356.348491,0.000000,21356.348491,8.952607
39,3.570896,21944.689593,0.000000,21944.689593,8.712586
40,3.904978,22074.540183,0.000000,22074.540183,8.661335
