step,loss,computation_time_ms,communication_time_ms,total_host_time_ms,gflops_per_sec,mfu_percentage
82,3.781451,139.836700,0.000000,143.450908,1393.188388,-100.000000
83,4.174398,141.362305,0.000000,145.007910,1378.152879,-100.000000
84,4.193673,140.218719,0.000000,143.866150,1389.392714,-100.000000
85,3.679632,141.194275,0.000000,144.852887,1379.792965,-100.000000
86,3.676179,139.834213,0.000000,143.597730,1393.213168,-100.000000
87,4.456553,140.980026,0.000000,144.640139,1381.889849,-100.000000
88,3.825197,139.406204,0.000000,143.068475,1397.490652,-100.000000
89,4.349884,139.303513,0.000000,143.075140,1398.520853,-100.000000
90,3.854739,139.941055,0.000000,143.715842,1392.149479,-100.000000
91,4.165962,177.504517,0.000000,182.174291,1097.543155,-100.000000
92,2.915281,161.307449,0.000000,165.622042,1207.748731,-100.000000
93,3.518238,139.918976,0.000000,143.579787,1392.369163,-100.000000
94,3.919955,139.721222,0.000000,143.300891,1394.339847,-100.000000
95,3.825958,140.435547,0.000000,144.010352,1387.247542,-100.000000
96,3.123980,141.074875,0.000000,144.683481,1380.960765,-100.000000
97,4.146563,143.123077,0.000000,146.812940,1361.198143,-100.000000
98,3.600897,140.531525,0.000000,144.113863,1386.300104,-100.000000
99,3.626857,140.623550,0.000000,144.205896,1385.392892,-100.000000
100,3.631108,140.945984,0.000000,144.547687,1382.223614,-100.000000
101,4.181827,212.628448,0.000000,218.126641,916.240835,-100.000000
102,3.651746,163.454178,0.000000,167.583411,1191.886740,-100.000000
103,3.478095,140.256027,0.000000,143.838277,1389.023139,-100.000000
104,4.013793,139.482300,0.000000,143.085106,1396.728241,-100.000000
105,3.946837,140.109726,0.000000,143.674812,1390.473544,-100.000000
106,4.550158,139.608124,0.000000,143.179086,1395.469418,-100.000000
107,4.267879,139.747131,0.000000,143.296638,1394.081333,-100.000000
108,4.049541,139.853607,0.000000,143.507350,1393.019967,-100.000000
109,4.185402,139.734177,0.000000,143.444730,1394.210578,-100.000000
110,3.148544,139.345596,0.000000,142.882286,1398.098486,-100.000000
111,4.320601,140.012360,0.000000,143.674505,1391.440497,-100.000000
112,3.906515,139.165405,0.000000,142.699041,1399.908740,-100.000000
113,4.359423,140.909821,0.000000,144.499211,1382.578350,-100.000000
114,4.640430,139.648605,0.000000,143.219465,1395.064897,-100.000000
